DOIorPMID,Publisher,Country (primary),Cat1,Cat2,Cat3,Email to Editor,RT,EoC,CR,Correction or Retraction Date,Survival,,,
10.1371/journal.pone.0105451,PLOS,China,,1,,10/7/2015,,,,,-42284,,,Legend: 
10.1155/2013/358945,Hindawi,Turkey,0,,1,5/4/2014,,,1,12/1/2014,211,,,DOI or PMID: unique identifier of the paper
10.1080/08977190500233813,Taylor&Francis,Italy,1,,,10/4/2015,,,,,-42281,,,Cat1 = simple duplication 
10.3109/08977191003677402,Taylor&Francis,Italy,1,,,10/4/2015,,,,,-42281,,,Cat2 = overlap or rotated/mirrored duplication
10.1371/journal.pntd.0002173,PLOS,Chile,1,,,10/2/2015,,,,,-42279,,,Cat3 = altered photo with duplication (intention to mislead)
10.1371/journal.pone.0104510,PLOS,China,,1,,10/7/2015,1,,,6/8/2022,2436,,,
10.1371/journal.pone.0096343,PLOS,USA,1,,,10/7/2015,,,1,7/6/2016,273,,,RT: 1= retracted
10.1016/j.diagmicrobio.2011.03.016,Elsevier,Puerto Rico,1,,,4/21/2014,,,,,-41750,,,EoC: 1= Expression of Concern
10.1186/bcr3234,BioMedCentral,Greece,,1,,7/29/2015,,,1,6/7/2018,1044,,,CR: 1= corrected
10.1186/1471-2180-10-281,BioMedCentral,Germany,,1,,7/29/2015,,,1,8/23/2017,756,,,
10.1186/1471-2180-11-211,BioMedCentral,Germany,,1,,7/29/2015,,,1,8/21/2017,754,,,
10.1371/journal.pone.0095434,PLOS,UK,,1,,4/22/2014,,,1,10/30/2015,556,,,
10.1371/journal.pone.0051309,PLOS,USA,,,1,8/3/2015,1,,,8/30/2019,1488,,,
10.1371/journal.pntd.0001331,PLOS,Australia,,,,10/2/2015,,,1,7/11/2024,3205,,,
10.1016/j.cyto.2007.01.002,Elsevier,Argentina,,1,,10/4/2015,,,,,-42281,,,
10.1080/08977190902951558,Taylor&Francis,Argentina,,1,,10/4/2015,1,,,7/23/2020,1754,,,
10.1007/s11010-010-0575-6,Springer Nature,India ,,,1,10/4/2015,,,,,-42281,,,
10.1046/j.1462-2920.2000.00093.x,Wiley,USA,,,1,10/4/2015,,,,,-42281,,,
10.1128/IAI.00206-12,ASM,USA,,,1,10/30/2014,1,,,5/12/2015,194,,,
10.1007/s11010-012-1449-x,Springer Nature,Canada,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0071868,PLOS,USA,,1,,8/12/2014,,,1,10/16/2017,1161,,,
10.1128/JVI.00805-13,ASM,USA,,1,,12/31/2014,,,1,11/14/2017,1049,,,
10.1128/JVI.03303-12,ASM,USA,1,,,12/31/2014,,,1,7/1/2020,2009,,,
10.1007/s10549-013-2737-1,Springer Nature,China,,1,,10/4/2015,,1,0,6/6/2024,3168,,,
10.1371/journal.pone.0091566,PLOS,China,,1,,10/7/2015,1,,,3/13/2019,1253,,,
10.1002/ijc.27927,Wiley,China,,1,,2/21/2015,1,,,10/15/2015,236,,,
10.1371/journal.pone.0054193,PLOS,Ireland,,1,,5/11/2014,,,1,5/21/2020,2202,,,
10.1186/bcr3407,BioMedCentral,USA,,1,,7/29/2015,,,1,8/8/2018,1106,,,
PMID:9823007,Springer Nature,Israel,,,1,10/4/2015,,,,,-42281,,,
10.1002/ijc.27627,Wiley,China,,1,,2/21/2015,,,1,10/15/2015,236,,,
10.1371/journal.pone.0088393,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0089097,PLOS,China,,1,,10/7/2015,1,,,4/11/2023,2743,,,
10.1371/journal.pone.0093917,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0095849,PLOS,China,,1,,4/27/2014,,,1,3/23/2022,2887,,,
10.1186/1471-2180-14-108,BioMedCentral,India,,1,,7/29/2015,,,,,-42214,,,
10.1111/j.1472-765X.2012.03204.x,Wiley,Iran,,,1,10/4/2015,1,,,11/1/2023,2950,,,
10.1371/journal.pone.0054303,PLOS,China,,1,,5/10/2014,1,,,5/20/2019,1836,,,
10.1371/journal.pone.0098047,PLOS,China,,1,,6/15/2014,,,1,8/1/2019,1873,,,
10.1371/journal.pone.0055487,PLOS,China,,1,,5/24/2014,1,,,3/14/2018,1390,,,
10.1371/journal.pone.0085808,PLOS,China,,1,,4/28/2014,1,,,3/12/2018,1414,,,
10.1371/journal.pone.0065897,PLOS,USA,,,1,6/15/2014,,,1,6/20/2024,3658,,,
10.1007/s00280-004-0813-2,Springer Nature,France,,,1,6/28/2015,,,,,-42183,,,
10.1155/2011/507920,Hindawi,Taiwan,,1,,10/2/2015,,,1,11/18/2015,47,,,
10.1155/2012/595292,Hindawi,Taiwan,,1,,10/2/2015,,,1,11/24/2015,53,,,
10.1155/2012/732578,Hindawi,Taiwan,1,,,10/2/2015,,,1,6/28/2016,270,,,
10.1371/journal.pone.0056661,PLOS,Taiwan,,1,,10/7/2015,,1,0,7/3/2024,3192,,,
10.1371/journal.pone.0060860,PLOS,China,,1,,10/7/2015,,,1,5/1/2024,3129,,,
10.1371/journal.pone.0097607,PLOS,China,1,,,10/7/2015,,,,,-42284,,,
10.3892/ijo.2013.1789,Spandidos,Taiwan,,1,,10/4/2015,,,1,8/6/2016,307,,,
10.1371/journal.pone.0053974,PLOS,Taiwan,1,,,5/10/2014,,1,,1/11/2024,3533,,,
10.1155/2013/369180,Hindawi,Taiwan,1,,,10/2/2015,1,,,11/26/2017,786,,,
10.1371/journal.pone.0088863,PLOS,Taiwan,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0067149,PLOS,USA,,,1,10/7/2015,1,,,8/9/2018,1037,,,
10.1186/1471-2180-10-18,BioMedCentral,Canada,1,,,7/29/2015,,,,,-42214,,,
10.1371/journal.pone.0098813,PLOS,Portugal,,1,,7/5/2014,,,1,12/16/2014,164,,,
10.1371/journal.pone.0085608,PLOS,Belgium,,,1,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0090649,PLOS,Belgium,1,,,10/7/2015,,,1,6/27/2023,2820,,,
10.1371/journal.pone.0096825,PLOS,Belgium,1,,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0058486,PLOS,USA,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0090952,PLOS,China,,1,,10/7/2015,1,,,12/17/2020,1898,,,
10.1371/journal.pone.0054125,PLOS,Taiwan,,1,,5/4/2014,1,,,5/19/2022,2937,,,
10.1371/journal.pone.0059245,PLOS,Taiwan,,1,,9/16/2014,,,,,-41898,,,
10.1371/journal.pone.0102536,PLOS,Italy,,,1,8/12/2014,1,,,2/4/2021,2368,,,
10.1080/07357900802189816,Taylor&Francis,China,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0052184,PLOS,China,,1,,5/4/2014,1,,,1/6/2020,2073,,,
10.1371/journal.pone.0052940,PLOS,China,,1,,5/4/2014,,1,,12/2/2019,2038,,,
10.1080/08977190410001725531,Taylor&Francis,USA,,,1,10/4/2015,,,,,-42281,,,
10.1080/08977190801886905,Taylor&Francis,USA,,1,,10/4/2015,,,,,-42281,,,
10.3109/08977194.2011.565003,Taylor&Francis,USA,1,,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0055838,PLOS,China,,1,,10/7/2015,,,,,-42284,,,
10.1371/journal.pone.0105049,PLOS,India,,,1,8/26/2014,,,1,12/12/2014,108,,,
10.1371/journal.pone.0092478,PLOS,USA,,,1,10/7/2015,1,,,6/10/2021,2073,,,
10.1007/s11010-008-9736-2,Springer Nature,China,,,1,10/4/2015,,,1,6/25/2020,1726,,,
10.1371/journal.pone.0096557,PLOS,Greece,1,,,5/8/2014,,,,,-41767,,,
10.3109/07357907.2010.550665,Taylor&Francis,China,,1,,10/4/2015,,,,,-42281,,,
10.1371/journal.pone.0053834,PLOS,China,,1,,5/11/2014,1,,0,7/25/2024,3728,,,
10.1371/journal.pone.0093974,PLOS,China,,1,,4/18/2014,,,1,3/24/2016,706,,,
