Authors,Title,Citation,DOIorPMID,Publisher,Year,Country (primary),Institution,All entries I found myself,Problem Type,Cluster,Cat1,Cat2,Cat3,FINDINGS,Reported to journal and or institute,Reported on Pubpeer,"Reported to Pubpeer, journal and or institute",PubPeer  post date,PubPeer Identity,PubPeer url,Email to Editor,RT,Expression of concern,CR,Correction or Retraction Date,Survival,mBio Set 782
"Aiping Lan, Jing Zhang, Zhicheng Xiao, Xiaogang Peng, Yongfen Qi, Jie Du",Akt2 Is Involved in Loss of Epithelial Cells and Renal Fibrosis following Unilateral Ureteral Obstruction,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105451",10.1371/journal.pone.0105451,PLOS,2014,China,"Beijing An Zhen Hospital, Beijing",1,ImageDupl,Aiping Lan cluster probably different one,,1,,"Overlapping microscopy panels, multiple cases",1,1,1,3/2/2019,Bacillus Mannanilyticus,https://pubpeer.com/publications/8BA50C07B0C05E04528F757B0CDED9,10/7/2015,,,,,-42284,1
"Alberto Ricci, Paolo Graziano, Salvatore Mariotta, Giuseppe Cardillo, Bruno Sposato, Claudio Terzano, & Elena Bronzett",Neurotrophin system expression in human pulmonary carcinoid tumors,"Growth Factors, December 2005; 23(4): 303–312",10.1080/08977190500233813,Taylor&Francis,2005,Italy,"Universita` “La Sapienza”, Azienda Ospedaliera Sant’Andrea",1,ImageDupl,Alberto Ricci cluster,1,,,"Duplicated blot panel, multiple cases",1,1,1,3/11/2019,Anemone Sellowii,https://pubpeer.com/publications/0EB5A6C5B4D0F8A00DA07C61CA2487,10/4/2015,,,,,-42281,1
"Alberto Ricci, Salvatore Mariotta, Elena Pompili, Rita Mancini, Elena Bronzetti, Claudia De Vitis, Lara Pisani, Emanuela Cherubini, Pierdonato Bruno, Giorgetta Gencarelli, Maria R Giovagnoli, Claudio Terzano, Gennaro Ciliberto, Enrico Giarnieri, Lorenzo Fumagalli",Neurotrophin system activation in pleural effusions,"Growth Factors, August 2010; 28(4): 221–231",10.3109/08977191003677402,Taylor&Francis,2010,Italy,Universita` La Sapienza Rome Italy,1,ImageDupl,Alberto Ricci cluster,1,,,"Duplicated blot panel, might be error",1,1,1,3/11/2019,Anemone Sellowii,https://pubpeer.com/publications/9FACC23217D7E76CDD6DCD5B09AFF2,10/4/2015,,,,,-42281,1
"Alexander Hoffmann, Andre Levchenko, Martin L. Scott, David Baltimore",The IkappaB-NF-kappaB signaling module: temporal control and selective gene activation,Science 2002 Vol. 298 no. 5596 pp. 1241-1245,10.1126/science.1071914,AAAS (Science),2002,USA,"Division of Biology, California Institute of Technology, Pasadena",1,ImageDupl,Alexander Hoffmann USA cluster ,,,1,"Patched, duplicated bands",1,1,1,3/10/2020,Elisabeth Bik,https://pubpeer.com/publications/42CDD64D6F22465F74461A0A73520D,4/24/2015,,,1,12/7/2007,-2695,1
"Alfredo Molina-Berrios, Carolina Campos-Estrada, Natalia Henriquez, Mario Fau ́ndez, Gloria Torres, Christian Castillo, Sebastia ́n Escanilla, Ulrike Kemmerling, Antonio Morello, Rodrigo A. Lo ́pez-Munoz, Juan D. Maya",Protective Role of Acetylsalicylic Acid in Experimental Trypanosoma cruzi Infection: Evidence of a 15-epi- Lipoxin A4-Mediated Effect,"PLOS Neglected Tropical Disease, April 2013 | Volume 7 | Issue 4 | e2173",10.1371/journal.pntd.0002173,PLOS,2013,Chile,"Molecular, and Clinical Pharmacology Program, ICBM, Faculty of Medicine, University of Chile, Santiago",1,ImageDupl,"Alfredo Molina cluster, or not, probably not",1,,,three duplicated blot panels,1,1,1,11/23/2019,Elisabeth Bik,https://pubpeer.com/publications/5863B23E996D5BC9CB246F0890555A,10/2/2015,,,,,-42279,1
"Jianjun Shen, Weina Niu, Ming Zhou, Hongbo Zhang, Jun Ma, Ling Wang, Hongyan Zhang",MicroRNA-410 Suppresses Migration and Invasion by Targeting MDM2 in Gastric Cancer,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e104510",10.1371/journal.pone.0104510,PLOS,2014,China,"Radiation Oncology, Anhui Provincial Hospital, Hefei",1,ImageDupl,All Patients Paper Mill,,1,,Overlapping microscopy panels,1,1,1,6/18/2020,"Elisabeth Bik, secondary",https://pubpeer.com/publications/BFC1F899FE361D1BCAA36975644385,10/7/2015,1,,,6/8/2022,2436,1
"Ambrish Kumar, Daping Fan, Donald J. DiPette, Ugra S. Singh","Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells","PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1371/journal.pone.0096343,PLOS,2014,USA,"Microbiology, and Immunology, School of Medicine, University of South Carolina, Columbia",1,ImageDupl,Ambrish Kumar Columbia cluster,1,,,Duplicated microscopy images,1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/BD3FD257EB25C9DFAD8243B765FC65,10/7/2015,,,1,7/6/2016,273,1
"Olgary Figueroa-Santiago, Bonnibel Delgado, Ana M. Espino",Fasciola hepatica saposin-like protein-2–based ELISA for the serodiagnosis of chronic human fascioliasis,Diagnostic Microbiology and Infectious Disease 70 (2011) 355–361,10.1016/j.diagmicrobio.2011.03.016,Elsevier/ScienceDirect (10.1016),2011,Puerto Rico,"Department of Microbiology, School of Medicine, University of Puerto Rico,",1,ImageDupl,Ana Espino Puerto Rico cluster,1,,,Multiple cases of duplicated blot panels,1,1,1,3/12/2019,Ocybadistes Walkeri,https://pubpeer.com/publications/7310C0F8D6F347D886BC37D35C2531,4/21/2014,,,,,-41750,1
"Anastasios D Papanastasiou, Chaido Sirinian, Haralabos P Kalofonos",Identification of novel human receptor activator of nuclear factor-kB isoforms generated through alternative splicing: implications in breast cancer cell survival and migration,"Breast Cancer Research 2012, 14:R112",10.1186/bcr3234,Springer/ BioMedCentral,2012,Greece,"Clinical, and Molecular Oncology Laboratory, Division of Oncology, Department of Medicine, University of Patras, Rion",1,ImageDupl,Anastasios D Papanastasiou and Ioannis K. Zarkadis Greece cluster,,1,,"duplicated blot panels, differently cut",1,1,1,3/12/2019,Ocybadistes Walkeri,https://pubpeer.com/publications/F7F40895384E345B6E09CD20838CE9,7/29/2015,,,1,6/7/2018,1044,1
"Sven Kreutel, Andreas Kuhn, Dorothee Kiefer",The photosensor protein Ppr of Rhodocista centenaria is linked to the chemotaxis signalling ￼￼￼pathway,"BMC Microbiology 2010, 10:281",10.1186/1471-2180-10-281,Springer/ BioMedCentral,2010,Germany,"Sandrine Koechler1, Jessica Cleiss-Arnold1, Caroline Proux, Odile Sismeiro, Marie-Agnès Dillies, Florence Goulhen-Chollet, Florence Hommais, Didier Lièvremont, Florence Arsène-Ploetze, Jean-Yves Coppée, Philippe N Bertin",1,ImageDupl,Andreas Kuhn cluster,,1,,"Overlapping petridish pictures, duplicated blot panels",1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/C7E37560D905E7ED07558D71CB694F,7/29/2015,,,1,8/23/2017,756,1
